,event_id,investigation_type,accident_number,event_date,location,country,latitude,longitude,airport_code,airport_name,injury_severity,aircraft_damage,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,far_description,schedule,purpose_of_flight,air_carrier,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,broad_phase_of_flight,report_status,publication_date
70095,20110614X25647,Accident,CEN11CA387,2011-06-10,"Waukegan, IL",United States,422513N,0087523W,UGN,Waukegan Regional Airport,Non-Fatal,Substantial,Airplane,N23WS,beech,B200,No,2.0,Turbo Prop,135,NSCH,,PONTIAC FLIGHT SERVICE INC,0.0,0.0,0.0,6.0,IMC,,The lightning strike during an en route descent.,25-09-2020
70111,20110614X25149,Accident,ANC11CA044,2011-06-12,"Cold Bay, AK",United States,551219N,1624328W,PACD,Cold Bay,Non-Fatal,Substantial,Airplane,N600UA,douglas,DC-6B,No,4.0,Reciprocating,125,NSCH,,UNIVERSAL AIRLINES INC,0.0,0.0,0.0,4.0,VMC,,"The flight crew's failure to extend the landing gear, which resulted in an inadvertent wheels up landing. Contributing to the accident was the flight crew's diverted attention.",25-09-2020
70114,20110621X32040,Accident,DCA11CA073,2011-06-12,"San Fransico, CA",United States,037375N,1222316W,KSFO,San Francisco International,Non-Fatal,Substantial,Airplane,N571UA,boeing,757-222,No,2.0,Turbo Jet,121,SCHD,,UNITED AIR LINES INC,0.0,0.0,0.0,190.0,VMC,,The ramp personnel's failure to visually verify the position of the jetway before beginning the airplane pushback.,25-09-2020
70115,20110613X14032,Accident,CEN11FA383,2011-06-13,"Oswego, IL",United States,413945N,0882152W,ARR,Aurora Municipal,Non-Fatal,Substantial,Airplane,N390TH,boeing,B-17G,No,4.0,Reciprocating,091,,Positioning,"Liberty Foundation, Inc.",0.0,1.0,0.0,6.0,VMC,,"An inadequate repair of the fuel tank that allowed the fuel leak to continue, ultimately resulting in an in-flight fire.",25-09-2020
70123,20110615X31614,Incident,OPS11IA653,2011-06-14,"Fairbanks, AK",United States,644836N,1474313W,,,Non-Fatal,Unknown,Airplane,N121WV,beech,1900C,No,2.0,Turbo Prop,135,NSCH,,WARBELOWS AIR VENTURES INC,0.0,0.0,0.0,12.0,,,"Inadequate air traffic control actions that failed to establish and maintain required separation between the two airplanes.  Contributing to the incident was inexperience on the part of the local controller, inadequate oversight by the tower controller-in-charge, and deficient facility procedures and training.",25-09-2020
70126,20110615X75017,Accident,ERA11LA344,2011-06-15,"Gray, TN",United States,363511N,0822836W,,,Non-Fatal,Substantial,Airplane,N15L,beech,A100,No,2.0,Turbo Prop,091,,Positioning,DYNAMIC AVLEASE INC,0.0,0.0,0.0,2.0,IMC,,"An encounter with convectively-induced turbulence and icing, which resulted in an in-flight upset and a loss of airplane control.",25-09-2020
70130,20110616X82736,Accident,ERA11LA345,2011-06-15,"Nashville, TN",United States,361025N,0865321W,JWN,John C. Tune,Non-Fatal,Substantial,Airplane,N129SG,cessna,525A,No,2.0,Turbo Fan,091,,Business,DEER HORN AVIATION LTD CO,0.0,0.0,0.0,5.0,IMC,,The pilot-in-command's failure to execute a go-around when the airplane was high and fast on the final approach.,25-09-2020
70174,20110620X85053,Accident,WPR11LA269,2011-06-20,"Caldwell, ID",United States,433831N,0116389W,KEUL,Caldwell Independent Airport,Non-Fatal,Substantial,Airplane,N3278Q,cessna,402,No,2.0,Reciprocating,091,,Skydiving,JANES DENISE M,0.0,2.0,0.0,7.0,VMC,,The total loss of power in one engine during takeoff due to the blockage of fuel flow by a foreign object in the fuel tank.,25-09-2020
70177,20110624X95046,Incident,CEN11IA416,2011-06-20,"San Antonio, TX",United States,029321N,0982811W,,,Non-Fatal,Unknown,Airplane,N680GR,cessna,680,No,,Turbo Fan,091,,Business,Chinn Exploration Co.,0.0,0.0,0.0,3.0,VMC,,,25-09-2020
70180,20110621X20741,Incident,ENG11IA035,2011-06-21,"Atlanta, GA",United States,333821N,0842541W,,,Non-Fatal,Unknown,Airplane,N6714Q,boeing,757-232,No,2.0,Turbo Fan,121,SCHD,,DELTA AIR LINES INC,0.0,3.0,0.0,175.0,VMC,,"Fuel leaking from the fuel flow transmitter that ignited on contact with the engines hot cases which resulted in an engine undercowl fire. The fuel leak resulted from the fuel flow transmitter end housing backing off from the main housing, creating a gap that allowed high pressure fuel to escape. Under certain assembly variances and operational load and temperature variations, the end housing joint may not be able to maintain the preload without eventually yielding, which results in the loosening of the joint and the resultant gap.",25-09-2020
70185,20110627X00911,Accident,WPR11LA292,2011-06-21,"Phoenix, AZ",United States,334117N,0112457W,DVT,Phoenix Deer Valley Airport,Non-Fatal,Substantial,Airplane,N6160Q,cessna,320F,No,2.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,3.0,VMC,,"The mechanic's failure to properly secure the nose landing gear actuator push-pull tube to the landing gear door hinge clevis, which resulted in the gear jamming and not fully retracting after takeoff.",25-09-2020
70188,20110628X11855,Accident,ERA11CA367,2011-06-22,"Miami, FL",United States,254743N,0801714W,,,Non-Fatal,Unknown,Airplane,N884DA,mcdonnell douglas,MD88,No,2.0,Turbo Fan,121,NSCH,,"Dynamic Airways, LLC",0.0,0.0,1.0,126.0,VMC,,"The in-flight encounter with convective turbulence, resulting in an injury to a cabin attendant.",25-09-2020
70229,20110629X01453,Incident,OPS11IA686,2011-06-27,"Apache Junction, AZ",United States,,,KIWA,Phoenix-Mesa Gateway Airport,,Unknown,Airplane,N416NV,mcdonnell douglas,DC-9-83(MD-83),No,2.0,Turbo Fan,121,SCHD,,ALLEGIANT AIR LLC,0.0,0.0,0.0,0.0,,,The failure of the pilots of both airplanes to see and avoid each other and to maneuver as advised by the air traffic controller in time to prevent the conflict that resulted in the reported near midair collision.,25-09-2020
70244,20110630X70006,Accident,WPR11CA299,2011-06-30,"Casper, WY",United States,039147N,1082546W,KCPR,Casper/Natrona County,Non-Fatal,Substantial,Airplane,N59798,piper,PA-31-350,No,2.0,Reciprocating,135,NSCH,,FOWLER RICHARD L,0.0,0.0,0.0,1.0,VMC,,An in-flight collision with a bird at low altitude.,25-09-2020
70322,20110710X31135,Accident,ERA11FA391,2011-07-09,"Demopolis, AL",United States,322847N,0875653W,DYA,Demopolis,Fatal,Substantial,Airplane,N692TT,cessna,421C,No,2.0,Reciprocating,091,,Personal,,7.0,0.0,0.0,0.0,,,The pilot's failure to maintain airplane control during a single-engine approach and his failure to fly an appropriate traffic pattern for a single-engine landing. Contributing to the accident was a total loss of engine power on the right engine due to a fatigue failure of the right engine cam gear.,25-09-2020
70331,20110711X41528,Accident,ANC11FA062,2011-07-10,"Port Alsworth, AK",United States,603328N,1531821W,,,Non-Fatal,Substantial,Airplane,N76RA,piper,PA-31-350,No,2.0,Reciprocating,135,NSCH,,LAKE CLARK AIR INC,0.0,0.0,0.0,13.0,VMC,,The pilots failure to see and avoid the approaching airplane. Contributing to the accident was that the pilots failure to listen to radio position reports from the other airplane on the common traffic advisory frequency and the absence of any forward-facing lights on his airplane.,25-09-2020
70332,20110711X50716,Accident,ERA11CA396,2011-07-10,"Plant City, FL",United States,002800N,0082947W,PCM,Plant City Airport,Non-Fatal,Substantial,Airplane,N325EE,piper,PA-30,No,2.0,Reciprocating,091,,Personal,Louis A. Caporicci,0.0,0.0,0.0,2.0,VMC,,"The failure of a screw in the nose landing gear aligner assembly for undetermined reasons, which prevented the landing gear from fully extending.",25-09-2020
70342,20110713X92151,Accident,ERA11LA397,2011-07-12,"Opa-Locka, FL",United States,255426N,0801641W,OPF,Opa-Locka Executive,Non-Fatal,Substantial,Airplane,N110UN,gates lear jet,35,No,2.0,Turbo Fan,091,,Flight Test,"Robinson Air Crane, Inc.",0.0,0.0,0.0,4.0,VMC,,"The flightcrews inadvertent encounter with windshear during landing, which resulted in a loss of control.",25-09-2020
70351,20110715X40120,Accident,DCA11CA084,2011-07-14,"Boston, MA",United States,422112N,0071052W,BOS,GENERAL EDWARD LAWRENCE LOGAN,Non-Fatal,Substantial,Airplane,N132EV,bombardier,CL600 2D24,No,2.0,Turbo Fan,121,SCHD,,ATLANTIC SOUTHEAST AIRLINES INC,0.0,0.0,0.0,291.0,VMC,,the B767 flight crew's failure to maintain a safe clearance with the CRJ900 that was stopped on a taxiway.,25-09-2020
70380,20110722X12056,Accident,WPR11CA343,2011-07-19,"Colville, WA",United States,483225N,1175319W,63S,Colville Municipal Airport,Non-Fatal,Substantial,Airplane,N601FD,beech,95-B55 (T42A),No,2.0,Reciprocating,091,,Business,BEACHMONT LLC,0.0,0.0,0.0,3.0,VMC,,"The pilots inadequate braking after touchdown, which resulted in a runway excursion.",25-09-2020
70454,20110817X70753,Incident,ENG11WA044,2011-07-26,"Liege, Belium, Belgium",Belgium,,,LGG,Liege Airport,,Unknown,Airplane,4X-ICO,boeing,747-230F,No,4.0,Turbo Fan,NUSC,SCHD,,C.A.L. Cargo Airlines,0.0,0.0,0.0,0.0,,,,03-11-2020
70473,20110730X60307,Accident,DCA11FA091,2011-07-29,"Tangshan, China",China,,,,,Non-Fatal,Unknown,Airplane,N173UA,boeing,747-422,No,4.0,Turbo Fan,121,SCHD,,United Airlines,0.0,4.0,1.0,380.0,VMC,,an inadvertent encounter with convectively induced turbulence likely due to radar limitations and convective weather developing upwards into the flight path.,13-09-2021
70487,20110803X73136,Accident,WPR11LA361,2011-07-30,"Perris, CA",United States,334518N,0117130W,L65,Perris Valley,Non-Fatal,Substantial,Airplane,N6718X,beech,76,No,2.0,Reciprocating,091,,Personal,"California Flight Center, Inc.",0.0,1.0,1.0,2.0,VMC,,"The pilots failure to maintain airplane control and the resulting encounter with an aerodynamic stall. Also causal were the pilots inadequate preflight planning and preflight inspection, his failure to ensure the pitch trim was positioned correctly for takeoff, his decision to operate the airplane over maximum allowable gross weight, and his attempt to operate the airplane with a center of gravity aft of the rear CG limit.",25-09-2020
70511,20110803X44121,Accident,ERA11LA438,2011-08-03,"St. Petersburg, FL",United States,027467N,0823741W,SPG,Albert Whitted Airport,Non-Fatal,Substantial,Airplane,N8314Y,piper,PA-30,No,2.0,Reciprocating,091,,Personal,Erett Jay Bozarth,0.0,4.0,1.0,0.0,VMC,,"The pilot's improper rotation during takeoff, resulting in a stall and subsequent collision with the ground.",25-09-2020
70532,20110808X94427,Incident,ENG11IA043,2011-08-06,"Atlanta, GA",United States,334548N,0084246W,,,Non-Fatal,Minor,Airplane,N676MC,mcdonnell douglas,DC-9-51,No,2.0,Turbo Jet,121,SCHD,,Delta Air Lines,0.0,0.0,0.0,0.0,VMC,,The probable cause of the No. 2 engine failure and subsequent aborted takeoff was the high cycle fatigue failure of a fan blade near the blade root that resulted in extensive low pressure compressor damage and compressor case breach.,25-09-2020
70540,20110809X43054,Accident,CEN11FA557,2011-08-08,"Millersburg, OH",United States,040325N,0815644W,10G,Holmes County,Fatal,Substantial,Airplane,N2286P,piper,PA-23,No,2.0,Reciprocating,091,,Personal,,3.0,0.0,0.0,0.0,VMC,,The pilots failure to maintain clearance with terrain during the landing approach in night conditions and fog. Contributing to the accident was the pilots inadequate preflight planning.,25-09-2020
70541,20110809X50704,Incident,OPS11IA819,2011-08-08,"Chicago, IL",United States,415323N,0873715W,ORD,Chicago O'Hare International,Non-Fatal,Unknown,Airplane,N377SK,embraer,EMB-135KL,No,2.0,Turbo Jet,121,SCHD,,CHAUTAUQUA AIRLINES INC,0.0,0.0,0.0,84.0,VMC,,The improper air traffic control takeoff clearance issued by the local controller because of his lack of monitoring and lack of awareness of the conflicting arrival airplane.,25-09-2020
70595,20110815X30941,Accident,CEN11LA574,2011-08-17,"Perryton, TX",United States,362516N,1004434W,PYX,Perryton Ochiltree County Arpt,Non-Fatal,Substantial,Airplane,N46TB,piper,PA-31-310,No,2.0,Reciprocating,091,,Personal,,0.0,1.0,0.0,0.0,VMC,,The explosion and subsequent fire in the airplane for undetermined reasons because an examination of the burned airplane could not identify any preaccident anomolies.,25-09-2020
70596,20110817X02017,Accident,ERA11FA458,2011-08-17,"Tupelo, MS",United States,034165N,0884618W,KTUP,Tupelo Regional Airport,Fatal,Substantial,Airplane,N444YM,cessna,310Q,No,2.0,Reciprocating,091,,Personal,,1.0,0.0,0.0,0.0,VMC,,"The pilots delayed reaction in performing the engine failure procedures and his failure to maintain adequate airspeed, which resulted in a loss of airplane control. Contributing to the accident was maintenance personnels improper torquing of the B-nut between the fuel supply hose and the manifold valve.",25-09-2020
70630,20110823X71723,Accident,ERA11WA470,2011-08-20,"Region del Bio Bio, Chile",Chile,365839S,0721951W,SCIE,Concepcion,Fatal,Substantial,Airplane,CC-CTT,piper,PA30,No,2.0,Reciprocating,NUSC,NSCH,,Aero Transportes Araucania,2.0,0.0,0.0,0.0,VMC,,,03-11-2020
70637,20110822X11600,Accident,WPR11LA401,2011-08-21,"Cabazon, CA",United States,335443N,1165244W,BNG,Banning Municipal Airport,Non-Fatal,Substantial,Airplane,N1009S,piper,PA-31-310,No,2.0,Reciprocating,091,,Aerial Observation,,0.0,0.0,0.0,3.0,VMC,,A total loss of left engine power due to the failure of the aft crankshaft counterweight retaining washer for reasons that could not be determined during postaccident examinations.,25-09-2020
70639,20110822X30734,Accident,ANC11LA084,2011-08-21,"Dillingham, AK",United States,059241N,1583020W,PADL,Dillingham,Non-Fatal,Substantial,Airplane,N139F,grumman,G-44,No,2.0,Reciprocating,135,NSCH,,FRESH WATER ADVENTURES INC,0.0,0.0,0.0,4.0,VMC,,"A loss of directional control during landing due to a rock lodged in the main landing gear wheel brake, resulting in a runway excursion and collision with terrain.",25-09-2020
70648,20110810X23506,Accident,CEN11LA558,2011-08-22,"Alpine, TX",United States,030233N,0103411W,E38,Alpine-Casparis Municipal,Non-Fatal,Substantial,Airplane,N8076J,piper,AEROSTAR 601P,No,2.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,3.0,VMC,,The pilots improper flare which resulted in a hard landing. Contributing to the accident was the pilots improper decision to fly the airplane with a known mechanical deficiency.,25-09-2020
70666,20110909X05142,Accident,ERA11CA486,2011-08-26,"Gaithersburg, MD",United States,039106N,0077957W,GAI,Montgomery County,Non-Fatal,Substantial,Airplane,N3020M,piper,PA-44-180,No,2.0,Reciprocating,091,,Personal,"Washington Int'l Flight Academy, LLC",0.0,0.0,0.0,2.0,VMC,,The pilot's decision to continue taxiing with restricted windshield visibility.,25-09-2020
70667,20110922X40818,Accident,CEN11CA662,2011-08-26,"Saguache, CO",United States,038557N,1061027W,04V,Saguache Municipal Airport,Non-Fatal,Substantial,Airplane,N75BA,piper,PA-30,No,2.0,Reciprocating,091,,Personal,WOZNIAK MARTIN,0.0,0.0,0.0,3.0,VMC,,The pilot's failure to maintain airplane control during the aborted takeoff.,25-09-2020
70688,20110830X63935,Incident,ENG11IA047,2011-08-29,"Moline, IL",United States,412655N,0903027W,MLI,QUAD CITY INTL,Non-Fatal,Minor,Airplane,N27152,embraer,EMB145,No,2.0,Turbo Fan,121,SCHD,,EXPRESSJET AIRLINES INC,0.0,0.0,0.0,53.0,VMC,,The uncommanded left deflection of the airplane's nose wheel likely due to seal deterioration and subsequent contamination within the Electrohydraulic Servo Valve (EHSV).  Contributing to the incident was the undersized condition of the filter plugs within the EHSV which likely caused the C2 orifice filter seal to extrude and deteriorate.,25-09-2020
70704,20110902X54326,Incident,CEN11IA615,2011-09-01,"Baton Rouge, LA",United States,303158N,0091859W,BTR,Baton Rouge Metropolitan,Non-Fatal,Minor,Airplane,N875AS,bombardier inc,CL-600-2B19,No,2.0,Turbo Fan,121,SCHD,,ATLANTIC SOUTHEAST AIRLINES INC,0.0,0.0,0.0,53.0,VMC,,"The improperly installed upper attachment bolt in the left main landing gear uplock assembly, which led to the failure of the left main landing gear to extend before landing. Contributing to the accident was maintenance personnel's lack of training on the installation and inspection of the uplock assembly.",25-09-2020
70731,20110907X15938,Accident,CEN11WA628,2011-09-04,"Ottawa, Canada",Canada,,,YOW,Ottawa/MacDonald-Cartier Intl,Non-Fatal,Substantial,Airplane,N840HK,embraer,EMB-145LR,No,2.0,Turbo Fan,121,SCHD,,TRANS STATES AIRLINES INC,0.0,0.0,0.0,47.0,,,,25-09-2020
70732,20110907X43224,Accident,ERA11LA484,2011-09-04,"Georgetown, DE",United States,384110N,0752118W,GED,Sussex County Airport,Non-Fatal,Substantial,Airplane,N9079Z,north american,TB-25N,No,2.0,Reciprocating,091,,Personal,RAG WINGS & RADIALS AIRCRAFT LEASING LLC,0.0,0.0,0.0,5.0,VMC,,"Maintenance personnel's inadequate examination of the main landing gear during the airplanes most recent conditional inspection, which resulted in the fatigue failure of the right main landing gear shock strut drag arm during the landing roll.",25-09-2020
70733,20110928X74502,Accident,WPR11LA471,2011-09-04,"Phoenix, AZ",United States,033418N,0112511W,DVT,Phoenix Deer Valley Airport,Non-Fatal,Substantial,Airplane,N316PA,piper,PA-44-180,No,2.0,Reciprocating,091,,Instructional,BIRD ACQUISITION LLC,0.0,0.0,0.0,2.0,VMC,,"The pilot's improper flare and hard landing, which resulted in the failure of the nose landing gear drag link in overstress.",25-09-2020
70746,20110907X34750,Accident,DCA11RA098,2011-09-06,"Trinidad, Saint Barthelemy",Saint Barthelemy,,,SLTR,Trinidad,Fatal,Substantial,Airplane,CP2548,m7aero,SW3,No,2.0,Turbo Prop,NUSC,SCHD,,AeroCon,8.0,0.0,1.0,0.0,IMC,,<br /><br />,03-11-2020
70747,20110909X34254,Accident,CEN11CA633,2011-09-06,"Damon, TX",United States,291716N,0954429W,,,Non-Fatal,Substantial,Airplane,N742LB,beech,95-B55 (T42A),No,2.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,1.0,VMC,,"The pilots improper fuel management during cruise flight, which resulted in a total loss of engine power due to fuel starvation.",25-09-2020
70752,20120224X42146,Accident,DCA11CA116,2011-09-06,"Cape Coral, FL",United States,262624N,0008230W,,,Non-Fatal,Unknown,Airplane,N936WN,boeing,737 7H4,No,2.0,Turbo Fan,121,SCHD,,Southwest Airlines,0.0,0.0,1.0,141.0,VMC,,An encounter with convective turbulence during the descent.,25-09-2020
70764,20110912X61152,Accident,ANC11CA101,2011-09-10,"Yakota, Japan",Japan,002100N,0127150E,,,Non-Fatal,Unknown,Airplane,N71CX,douglas,DC-8-62F,No,4.0,Turbo Jet,121,NSCH,,Air Transport International LLC,0.0,0.0,1.0,36.0,IMC,,"The passenger's decision to ignore the fasten seatbelt sign, resulting in serious injury to the passenger during a turbulence encounter.",25-09-2020
70773,20110913X45759,Accident,CEN11WA639,2011-09-12,"Monterrey, Mexico",Mexico,,,,,Fatal,Destroyed,Airplane,N69DJ,piper,PA-31P,No,2.0,Reciprocating,NUSN,,,,2.0,0.0,0.0,0.0,,,,25-09-2020
70797,20110917X35742,Incident,CEN11IA649,2011-09-17,"Chicago, IL",United States,043230N,0089211W,ORD,Chicago O'Hare IAP,Non-Fatal,Minor,Airplane,C-FGYL,airbus industrie,A320-211,No,2.0,Turbo Fan,129,SCHD,,AIR CANADA,0.0,0.0,0.0,140.0,VMC,,The infiltration of moisture into the windshield heating layer that induced arcing in the heating system that subsequently cracked the windshield.,25-09-2020
70802,20110919X65108,Accident,DCA11RA100,2011-09-17,"Quito, Spain",Spain,,,SEQU,Quito,Non-Fatal,Substantial,Airplane,HC-CEZ,embraer,E190,No,2.0,Turbo Fan,NUSC,SCHD,,TAME,0.0,0.0,5.0,97.0,IMC,,<br /><br />,03-11-2020
70804,20110920X10535,Accident,CEN11CA655,2011-09-17,"Hillsboro, TX",United States,003251N,0097550W,KINJ,Hillsboro Municipal Airport,Non-Fatal,Substantial,Airplane,N125A,beech,B90,No,2.0,Turbo Prop,091,,Skydiving,BRIGMAN IVAN T,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to obtain a  proper touchdown point, which resulted in a runway undershoot.",25-09-2020
70807,20111012X85540,Accident,ERA11WA518,2011-09-17,"Valencia, Carabobo, Venezuela",Venezuela,001091N,0067560W,SVVA,Arturo Michelena,Non-Fatal,Substantial,Airplane,N535LC,gates lear jet,35,No,2.0,Turbo Fan,091,,Personal,MARTIN ANDREW TRUSTEE,0.0,0.0,0.0,7.0,VMC,,,03-11-2020
70821,20110921X41536,Accident,WPR11LA460,2011-09-21,"Truckee, CA",United States,391910N,0120832W,TRK,Truckee- Tahoe,Non-Fatal,Substantial,Airplane,N62792,piper,PA23,No,2.0,Reciprocating,091,,Personal,Brian J Mettler,0.0,0.0,1.0,0.0,VMC,,"The pilot's failure to maintain an airspeed at or above the airplane's minimum controllable airspeed, which resulted in a loss of airplane control. Contributing to the accident was the partial loss of power from the left engine as a result of a clogged fuel nozzle.",25-09-2020
70853,20110927X91721,Incident,ENG11IA051,2011-09-26,"Denver, CO",United States,394459N,0010500W,DEN,Denver International,Non-Fatal,Minor,Airplane,N526UA,boeing,757-222,No,2.0,Turbo Fan,121,SCHD,,UNITED AIRlNES INC,0.0,0.0,0.0,185.0,,,"**This probable cause was modified on 4/5/2012. Please see the public docket for this accident to view the original probable cause.**


The initial damage to the fan blades was caused by the ingestion of a Red-Tailed Hawk that caused one or more fan blades to fracture, striking the fan case and causing it to bulge. The initial fan blade fragment release impacted and damaged other passing fan blades generating various sized blades fragments. Some of these blade fragments were propelled forward of the fan case by passing fan blades and were reingested, creating a cascading effect of collateral impact damage to the other fan blades, the fan case, and the inlet cowl.",25-09-2020
70854,20111001X72953,Accident,DCA11WA107,2011-09-26,"Puerto Ordaz, Venezuela",Venezuela,,,,Puerto Ordaz,Non-Fatal,Substantial,Airplane,YV-136T,boeing,DC-9,No,,Turbo Jet,NUSC,SCHD,,Aeropostal,0.0,0.0,0.0,130.0,,,,25-09-2020
70863,20110929X22501,Accident,ERA11LA507,2011-09-28,"Atlanta, GA",United States,033050N,0843644W,RYY,Cobb County Airport  Mc Collum,Non-Fatal,Substantial,Airplane,N344KL,mitsubishi,MU-2B-25,No,2.0,Turbo Prop,091,,Executive/corporate,LAUREL MOUNTAIN AVIATION LLC,0.0,0.0,0.0,3.0,VMC,,The improper installation of the nose landing gear strut and subsequent collapse of the nose landing gear during landing.,25-09-2020
70868,20110930X20857,Accident,ERA11CA511,2011-09-29,"Miami, FL",United States,025460N,0801730W,MIA,Miami International,Non-Fatal,Unknown,Airplane,N804NN,boeing,737-823,No,2.0,Turbo Fan,121,SCHD,,AMERICAN AIRLINES INC,0.0,0.0,1.0,165.0,VMC,,"The in-flight encounter with clear air turbulence, which resulted in an injury to a cabin attendant.",25-09-2020
70870,20111005X90411,Accident,DCA11WA108,2011-09-29,"Aceh, Indonesia",Indonesia,,,WIMM,Polonia Medan,Fatal,Substantial,Airplane,PK-TLF,aviocar casa,C212,No,2.0,Turbo Prop,NUSC,SCHD,,Nusantara Buana Air,18.0,0.0,0.0,0.0,,,,25-09-2020
70909,20111018X03714,Accident,ERA12CA038,2011-10-07,"Atlanta, GA",United States,033387N,0842513W,ATL,Hartsfield-Jackson Atlanta Int,Non-Fatal,Substantial,Airplane,N922DL,mcdonnell douglas aircraft co,MD-88,No,2.0,Turbo Fan,121,SCHD,,DELTA AIR LINES INC,0.0,0.0,0.0,81.0,VMC,,The tug driver's inadequate control of the tug while maneuvering the airplane during pushback.,25-09-2020
70912,20111011X02556,Accident,WPR12CA004,2011-10-08,"Hilo, HI",United States,194725N,1545513W,,,Non-Fatal,Substantial,Airplane,N23BT,cessna,T310R,No,2.0,Reciprocating,091,,Ferry,American King Air,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power during cruise flight due to fuel exhaustion as a result of the pilots improper fuel planning.,25-09-2020
70918,20111011X01145,Incident,ENG12IA001,2011-10-10,"Atlanta, GA",United States,334548N,0084246W,ATL,HARTSFIELD - JACKSON ATLANTA I,Non-Fatal,Minor,Airplane,N553NW,boeing,757-251,No,2.0,Turbo Jet,121,SCHD,,Delta Air Lines Inc,0.0,0.0,0.0,182.0,VMC,,"
the return to service of overhauled airplane engine parts with undetected fatigue cracks, resulting in complete loss of engine power and uncontained engine failure. A contributing factor was the inadequate diffuser and HPT case inspection procedure.",25-09-2020
70924,20120731X03739,Incident,ENG12RA028,2011-10-10,"Antalya, Turkey",Turkey,,,LTAI,"Antalya, Turkey",,Minor,Airplane,TC-SKF,boeing,737,No,2.0,Turbo Fan,129,NSCH,,Sky Airlines,0.0,0.0,0.0,0.0,,,,25-09-2020
70928,20111014X02944,Accident,CEN12CA017,2011-10-12,"Lafayette, IN",United States,402444N,0865613W,LAF,Purdue University,Non-Fatal,Substantial,Airplane,N64MG,learjet inc,60,No,2.0,Turbo Fan,091,,Executive/corporate,MERCER AIR LLC,0.0,0.0,0.0,4.0,VMC,,The pilot's decision to taxi the airplane across an unpaved area after the nosewheel inadvertently departed the ramp pavement.,25-09-2020
70946,20130620X30633,Accident,CEN12WA686,2011-10-14,"Petit-Beauregard, Eswatini",Eswatini,465234N,0006355E,,,Fatal,Destroyed,Airplane,G-BBEF,piper,PA-28-140,No,,Reciprocating,NUSN,,Personal,FLYBPL.COM,2.0,0.0,0.0,0.0,VMC,,,03-11-2020
70978,20111020X14740,Accident,ERA12CA044,2011-10-20,"New York, NY",United States,403823N,0734644W,,,Non-Fatal,Unknown,Airplane,N253AY,boeing,767-2B7,No,2.0,Turbo Jet,121,SCHD,,US AIRWAYS INC,0.0,0.0,1.0,215.0,IMC,,"The passenger's lack of compliance with the illuminated seatbelt sign, which resulted in her injury during a turbulence encounter.",25-09-2020
70988,20111024X74546,Incident,ENG12IA003,2011-10-23,"Detroit, MI",United States,422059N,0083336W,DTW,Detroit International Airport,Non-Fatal,Minor,Airplane,N661US,boeing,747-451,No,4.0,Turbo Jet,121,SCHD,,DELTA AIR LINES INC,0.0,0.0,0.0,394.0,,,"The penetration of turbine blade fragments through the rear turbine case, which punctured the No. 4 bearing oil pressure supply tube, allowing misted oil to contact the hot engine case and ignite the undercowl fire.

Contributing to the incident was the installation of approved (but not preferred) stage 3 low pressure turbine outer transition duct segments with the riveted rear seal configuration and the failure of the engine design to comply with the engine debris containment requirements of 14 Code of Federal Regulations 33.13 and 33.75.",25-09-2020
70992,20111027X01810,Incident,ENG12IA004,2011-10-23,"Atlanta, GA",United States,033453N,0842323W,ATL,Hartsfield-Jackson Atlanta Int,Non-Fatal,Unknown,Airplane,N751EV,bombardier,CL600 2C10,No,2.0,Turbo Fan,121,SCHD,,ATLANTIC SOUTHEAST AIRLINES INC,0.0,0.0,0.0,0.0,,,"The Start Operability Bleed Valve (OBV) fuel return adapter-fitting fractured and separated in cyclic fatigue, which allowed fuel to spill onto a hot engine case that ignited the undercowl fire.  The OBV fuel adapter-fitting was dropped and the damage reduced its load carrying and fatigue capability, eventually leading to its failure.",25-09-2020
70998,20111025X10819,Accident,WPR12FA020,2011-10-25,"St. Paul, OR",United States,451744N,1225719W,,,Fatal,Substantial,Airplane,N3062H,piper,PA-44-180,No,2.0,Reciprocating,091,,Instructional,HILLSBORO AVIATION INC,1.0,0.0,0.0,2.0,VMC,,The pilot was unable to see the other aircraft to avoid a collision.,25-09-2020
71000,20111026X34639,Accident,CEN12FA043,2011-10-26,"Fort Worth, TX",United States,325532N,0972528W,T67,Hicks Airfield,Non-Fatal,Substantial,Airplane,N6018U,hawker beechcraft,76,No,2.0,Reciprocating,091,,Instructional,PRO AIRCRAFT,0.0,0.0,3.0,0.0,VMC,,"The flight instructor's failure to maintain airspeed above the air minimum control airspeed (Vmca), which resulted in a loss of control and impact with terrain. Contributing to the accident was the instructor's failure to follow published procedures to retract the landing gear and maintain 85 knots minimum airspeed during the one-engine-inoperative go-around maneuver.",25-09-2020
